pattern,quality,support,pattern_accuracy,global_accuracy,dataset_size
"[{'NE_1_1'}, {'E_1_0'}, {'E_1_0'}, {'N_0_1'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}, {'STAY_0_0'}]",0.22670501512482466,130,0.8615384615384616,0.9688331432915241,5262
"[{'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}]",0.22652377291664494,229,0.8646288209606987,0.9688331432915241,5262
"[{'NE_1_1'}, {'E_1_0'}, {'S_0_1'}, {'W_1_0'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}]",0.22620345059571023,513,0.9044834307992202,0.9688331432915241,5262
"[{'E_1_0'}, {'NE_1_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'STAY_0_0'}, {'NE_1_1'}]",0.223100701409219,197,0.8730964467005076,0.9688331432915241,5262
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'STAY_0_0'}, {'E_1_0'}, {'NE_1_1'}]",0.2222363243671528,278,0.8705035971223022,0.9688331432915241,5262
"[{'NE_1_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'STAY_0_0'}]",0.2212171793657174,429,0.8904428904428905,0.9688331432915241,5262
"[{'N_0_1'}, {'N_0_1'}, {'NE_1_1'}, {'NE_1_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}]",0.22106923363755493,220,0.8909090909090909,0.9688331432915241,5262
"[{'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'W_1_0'}, {'S_0_1'}]",0.22078732953553426,732,0.9112021857923497,0.9688331432915241,5262
"[{'NE_1_1'}, {'N_0_1'}, {'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'STAY_0_0'}]",0.22061130388820682,118,0.847457627118644,0.9688331432915241,5262
"[{'NE_1_1'}, {'E_1_0'}, {'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'STAY_0_0'}]",0.21935694068798617,187,0.8609625668449198,0.9688331432915241,5262
"[{'N_0_1'}, {'E_1_0'}, {'NE_1_1'}, {'E_1_0'}, {'STAY_0_0'}, {'E_1_0'}]",0.2192994343452075,301,0.9169435215946844,0.9688331432915241,5262
"[{'E_1_0'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'NW_1_1'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}]",0.21892206326557828,104,0.8076923076923077,0.9688331432915241,5262
"[{'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'N_0_1'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}]",0.21873752725894569,387,0.9018087855297158,0.9688331432915241,5262
"[{'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'W_1_0'}, {'STAY_0_0'}]",0.2173074357814363,328,0.899390243902439,0.9688331432915241,5262
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'SW_1_1'}, {'STAY_0_0'}, {'E_1_0'}]",0.2161719070716427,323,0.8668730650154799,0.9688331432915241,5262
